45,23,4,7,24
240,174,344,185,2
1020,660,909,542,1
1821,699,3253,3784,498
1525,4742,4594,1721,2
10032,2247,11658,8787,18
12631,12787,12124,653,108
10355,5824,353,2655,6841
2477,1882,3958,1551,4716
6926,6658,10567,993,13962
9504,8524,6563,3622,0
9700,8700,6700,3700,0
9700,8700,6700,3700,0
3359,7698,2111,5747,6573
2407,6124,5027,5439,1608
106,85,60,2,146
47,16,41,20,6
210,273,259,175,10
281,223,157,76,30
7,1442,3158,4763,15
7,88,364,158,15
548,476,30,191,111
2403,1363,4713,4,6700
268,447,208,35,36
548,287,195,77,674
1248,602,800,1113,87
11360,9194,7334,2838,172
4241,3181,1060,4557,10598
